t_s,dt_s,ax_dynamic,az_dynamic,accel_xz_magnitude
3.999359,0.009983,0.015915,0.040382,0.043405
4.009382,0.010022,-0.016407,0.018834,0.024978
4.019374,0.009993,0.000352,0.032002,0.032004
4.029370,0.009996,-0.022393,0.028411,0.036175
4.039357,0.009987,0.039857,0.009257,0.040917
4.049368,0.010011,0.050630,-0.005108,0.050887
4.059347,0.009979,0.011126,0.088266,0.088964
4.069422,0.010074,-0.314485,0.000877,0.314487
4.079359,0.009938,-0.534752,-0.098482,0.543745
4.089371,0.010012,-0.436590,-0.081723,0.444172
4.099348,0.009977,-0.321668,-0.061372,0.327470
4.109365,0.010017,-0.300120,-0.064963,0.307070
4.119435,0.010069,-0.270193,-0.104467,0.289685
4.129380,0.009945,-0.201958,-0.099679,0.225217
4.139372,0.009993,-0.125343,-0.049401,0.134727
4.149338,0.009966,-0.078656,-0.057781,0.097598
4.159379,0.010041,-0.006830,0.041579,0.042136
4.169380,0.010000,0.012323,0.091857,0.092680
4.179341,0.009961,-0.018801,-0.033838,0.038711
4.189398,0.010057,-0.064291,0.005666,0.064540
4.199353,0.009956,0.012323,-0.033838,0.036013
4.209346,0.009993,0.053025,-0.031444,0.061647
4.219329,0.009983,-0.048729,0.028411,0.056406
4.229369,0.010040,-0.126540,-0.045809,0.134577
4.239345,0.009976,-0.172030,-0.114044,0.206399
4.249364,0.010019,-0.248645,-0.060175,0.255823
4.259328,0.009964,-0.163651,-0.026656,0.165807
4.269410,0.010082,-0.151680,-0.043415,0.157771
4.279372,0.009963,-0.037955,-0.050598,0.063251
4.289382,0.010009,-0.025984,-0.078131,0.082339
4.299370,0.009988,0.033871,-0.002714,0.033980
4.309367,0.009997,0.057813,0.017637,0.060443
4.319446,0.010079,0.063799,0.034396,0.072480
4.329389,0.009942,0.027886,0.029608,0.040672
4.339345,0.009957,-0.041546,-0.069752,0.081187
4.349385,0.010039,-0.116964,-0.027853,0.120234
4.359358,0.009973,-0.213929,-0.079328,0.228163
4.369401,0.010043,-0.193578,-0.032641,0.196311
4.379374,0.009973,-0.209140,0.002075,0.209151
4.389392,0.010019,-0.138511,-0.057781,0.150080
4.399407,0.010015,-0.121752,-0.069752,0.140317
4.409433,0.010026,-0.030772,0.008060,0.031810
4.419412,0.009979,-0.041546,-0.009896,0.042709
4.429454,0.010042,0.020703,-0.060175,0.063637
4.439382,0.009928,-0.000845,-0.121227,0.121230
4.449460,0.010078,-0.106190,-0.024262,0.108926
4.459385,0.009925,-0.083445,-0.050598,0.097587
4.469433,0.010047,-0.231885,0.051156,0.237461
4.479399,0.009966,-0.201958,0.003272,0.201984
4.489546,0.010147,-0.383917,0.439016,0.583205
4.499371,0.009825,-0.222309,-0.261288,0.343063
4.509395,0.010024,-0.067883,-0.218192,0.228508
4.519335,0.009939,0.141610,-0.245725,0.283610
4.529401,0.010066,0.217027,-0.175096,0.278854
4.539370,0.009969,0.232590,-0.081723,0.246529
4.549379,0.010010,-0.128935,0.389935,0.410699
4.559370,0.009990,-0.308500,0.461761,0.555334
4.569406,0.010036,-0.216323,-0.039824,0.219958
4.579456,0.010050,-0.168439,-0.124818,0.209646
4.589434,0.009978,0.045842,-0.203827,0.208918
4.599441,0.010007,0.208648,-0.203827,0.291683
4.609471,0.010030,-0.030772,-0.013488,0.033599
4.619445,0.009974,-0.146891,0.046367,0.154036
4.629393,0.009948,-0.282164,0.061930,0.288880
4.639408,0.010015,-0.282164,0.036790,0.284552
4.649387,0.009979,-0.060700,-0.106862,0.122898
4.659362,0.009976,-0.015210,-0.069752,0.071391
4.669396,0.010034,-0.053517,0.105025,0.117875
4.679330,0.009934,-0.029575,-0.007502,0.030512
4.689382,0.010052,0.196677,-1.473951,1.487015
4.699466,0.010084,-0.948949,0.026017,0.949305
4.709410,0.009944,-0.173227,-0.511482,0.540020
4.719340,0.009930,0.480390,-0.846670,0.973460
4.729419,0.010079,0.370256,0.048761,0.373453
4.739382,0.009963,0.120062,0.365993,0.385183
4.749450,0.010069,0.278080,-1.228545,1.259623
