t_s,dt_s,ax_dynamic,vel_x,az_dynamic,accel_xz_magnitude,cur_left_a,cur_right_a,cur_total_a
1.759908,0.009953,-0.030982,-0.002967,0.007437,0.031862,0.0000,0.0000,0.0000
1.770077,0.010169,0.000143,-0.002965,-0.002140,0.002145,0.0000,0.0000,0.0000
1.779916,0.009839,0.027676,-0.002693,-0.011717,0.030054,0.0000,0.0000,0.0000
1.789946,0.010031,0.008523,-0.002608,-0.018899,0.020732,0.0000,0.0000,0.0000
1.799917,0.009970,0.010917,-0.002499,-0.027279,0.029382,0.0000,0.0000,0.0000
1.809927,0.010010,-0.004645,-0.002545,-0.033265,0.033587,0.0000,0.0000,0.0000
1.819923,0.009997,-0.001054,-0.002556,-0.002140,0.002385,0.0000,0.0000,0.0000
1.829940,0.010016,0.006129,-0.002494,0.015817,0.016962,0.0000,0.0000,0.0000
1.839895,0.009955,-0.016616,-0.002660,0.013422,0.021360,0.0000,0.0000,0.0000
1.849954,0.010059,-0.005842,-0.002719,-0.022491,0.023237,0.0000,0.0000,0.0000
1.859915,0.009962,-0.004645,-0.002765,-0.006928,0.008341,0.0000,0.0000,0.0000
1.869948,0.010033,-0.017813,-0.002944,-0.000943,0.017838,0.0000,0.0000,0.0000
1.879898,0.009950,-0.015419,-0.003097,-0.026082,0.030299,0.0000,0.0000,0.0000
1.889985,0.010086,0.009720,-0.002999,0.014619,0.017556,0.0000,0.0000,0.0000
1.899923,0.009938,0.007326,-0.002926,0.040956,0.041606,0.0000,0.0000,0.0000
1.909955,0.010031,-0.028587,-0.003213,-0.008125,0.029720,0.0000,0.0000,0.0000
1.919923,0.009968,-0.015419,-0.003367,0.012225,0.019678,0.0000,0.0000,0.0000
1.929938,0.010015,0.022888,-0.003137,0.006240,0.023723,0.0000,0.0000,0.0000
1.939902,0.009964,-0.004645,-0.003184,0.015817,0.016485,0.0000,0.0000,0.0000
1.949985,0.010083,-0.013025,-0.003315,0.009831,0.016319,0.0000,0.0000,0.0000
1.959901,0.009916,0.000143,-0.003314,0.062504,0.062504,0.0000,0.0000,0.0000
1.969941,0.010041,-0.016616,-0.003481,0.008634,0.018726,0.0000,0.0000,0.0000
1.979912,0.009971,0.020494,-0.003276,-0.026082,0.033170,0.0000,0.0000,0.0000
1.989963,0.010051,0.015705,-0.003118,0.001451,0.015772,0.0000,0.0000,0.0000
1.999919,0.009956,0.018100,-0.002938,-0.024885,0.030771,0.0000,0.0000,0.0000
2.009940,0.010021,0.000143,-0.002937,-0.040447,0.040447,0.0000,0.0000,0.0000
2.019895,0.009955,-0.004645,-0.002983,0.030182,0.030537,0.0000,0.0000,0.0000
2.029929,0.010033,-0.009434,-0.003078,0.006240,0.011311,0.0000,0.0000,0.0000
2.039918,0.009990,0.002537,-0.003052,-0.027279,0.027397,0.0000,0.0000,0.0000
2.049969,0.010050,-0.014222,-0.003195,-0.002140,0.014382,0.0000,0.0000,0.0000
2.059941,0.009973,-0.002251,-0.003218,0.025393,0.025493,0.0000,0.0000,0.0000
2.070049,0.010108,-0.011828,-0.003337,0.022999,0.025862,0.0000,0.0000,0.0000
2.079925,0.009876,0.030071,-0.003040,0.000254,0.030072,0.0000,0.0000,0.0000
2.089969,0.010044,-0.010631,-0.003147,-0.017702,0.020649,0.0000,0.0000,0.0000
2.099973,0.010004,0.004932,-0.003098,0.006240,0.007953,0.0000,0.0000,0.0000
2.109978,0.010005,0.008523,-0.003012,0.017014,0.019029,0.0000,0.0000,0.0000
2.119909,0.009931,0.019297,-0.002821,0.017014,0.025726,0.0000,0.0000,0.0000
2.129944,0.010035,0.018100,-0.002639,0.008634,0.020053,0.0000,0.0000,0.0000
2.139917,0.009973,-0.004645,-0.002685,-0.036856,0.037147,0.0000,0.0000,0.0000
2.150298,0.010381,0.021691,-0.002460,-0.034462,0.040720,0.0000,0.0000,0.0000
2.159927,0.009629,0.001340,-0.002447,0.006240,0.006382,0.0000,0.0000,0.0000
2.169956,0.010029,-0.009434,-0.002542,-0.000943,0.009481,0.0000,0.0000,0.0000
2.180098,0.010142,0.010917,-0.002431,-0.017702,0.020798,0.0000,0.0000,0.0000
2.189943,0.009846,-0.015419,-0.002583,0.040956,0.043762,0.0000,0.0000,0.0000
2.199908,0.009965,-0.001054,-0.002594,0.038562,0.038576,0.0000,0.0000,0.0000
2.209945,0.010037,-0.004645,-0.002640,0.017014,0.017636,0.0000,0.0000,0.0000
2.220355,0.010410,-0.017813,-0.002826,0.003846,0.018224,0.0000,0.0000,0.0000
2.230326,0.009971,0.024085,-0.002585,0.001451,0.024129,0.0000,0.0000,0.0000
2.239928,0.009602,-0.002251,-0.002607,-0.017702,0.017845,0.0000,0.0000,0.0000
2.249979,0.010051,0.003734,-0.002570,-0.005731,0.006841,0.0000,0.0000,0.0000
2.259914,0.009936,0.013311,-0.002437,0.012225,0.018073,0.0000,0.0000,0.0000
2.269942,0.010028,0.006129,-0.002376,-0.000943,0.006201,0.0000,0.0000,0.0000
2.279886,0.009944,-0.004645,-0.002422,0.018211,0.018794,0.0000,0.0000,0.0000
2.289976,0.010090,0.008523,-0.002336,0.015817,0.017967,0.0000,0.0000,0.0000
2.299902,0.009926,-0.024996,-0.002584,0.018211,0.030926,0.0000,0.0000,0.0000
2.310112,0.010210,0.004932,-0.002534,0.017014,0.017714,0.0000,0.0000,0.0000
2.319896,0.009785,-0.015419,-0.002685,-0.008125,0.017429,0.0000,0.0000,0.0000
2.330367,0.010470,-0.003448,-0.002721,-0.028476,0.028684,0.0000,0.0000,0.0000
2.339907,0.009540,0.020494,-0.002525,-0.000943,0.020515,0.0000,0.0000,0.0000
2.349975,0.010068,0.007326,-0.002452,-0.034462,0.035232,0.0000,0.0000,0.0000
2.359893,0.009918,0.001340,-0.002438,-0.027279,0.027312,0.0000,0.0000,0.0000
2.369961,0.010068,-0.028587,-0.002726,-0.006928,0.029415,0.0000,0.0000,0.0000
2.379976,0.010015,0.018100,-0.002545,-0.022491,0.028869,0.0000,0.0000,0.0000
2.389988,0.010012,0.006129,-0.002483,0.009831,0.011585,0.0000,0.0000,0.0000
2.399919,0.009931,-0.016616,-0.002648,0.001451,0.016680,0.0000,0.0000,0.0000
2.409980,0.010061,-0.001054,-0.002659,0.032576,0.032593,0.0000,0.0000,0.0000
2.419951,0.009971,-0.011828,-0.002777,-0.005731,0.013143,0.0000,0.0000,0.0000
2.429950,0.009999,0.018100,-0.002596,-0.003337,0.018405,0.0000,0.0000,0.0000
2.439891,0.009941,0.015705,-0.002440,-0.069178,0.070938,0.0000,0.0000,0.0000
2.450003,0.010113,-0.022602,-0.002668,-0.038053,0.044259,0.0000,0.0000,0.0000
2.459921,0.009917,0.191679,-0.000767,0.055321,0.199503,0.0000,0.0000,0.0000
2.469962,0.010041,0.270688,0.001950,0.080460,0.282393,0.0000,0.0000,0.0000
2.479910,0.009948,0.174920,0.003691,-0.009323,0.175168,0.0000,0.0000,0.0000
2.489957,0.010046,0.150978,0.005207,-0.089528,0.175527,0.0000,0.0000,0.0000
2.499904,0.009947,0.159358,0.006793,-0.011717,0.159788,0.0000,0.0000,0.0000
2.509926,0.010022,0.156963,0.008366,0.067292,0.170780,0.0000,0.0000,0.0000
2.519886,0.009960,0.048027,0.008844,0.067292,0.082673,0.0000,0.0000,0.0000
2.529948,0.010062,-0.026193,0.008581,0.030182,0.039963,0.0000,0.0000,0.0000
2.539896,0.009948,0.026479,0.008844,-0.015308,0.030586,0.0000,0.0000,0.0000
2.549955,0.010059,0.111473,0.009965,-0.021294,0.113489,0.0000,0.0000,0.0000
2.559940,0.009985,0.113868,0.011102,0.011028,0.114400,0.0000,0.0000,0.0000
2.569965,0.010025,0.085137,0.011956,0.007437,0.085461,0.0000,0.0000,0.0000
2.579913,0.009948,0.044436,0.012398,0.062504,0.076689,0.0000,0.0000,0.0000
2.589936,0.010023,0.057604,0.012975,0.024196,0.062479,0.0000,0.0000,0.0000
2.599902,0.009966,0.144992,0.014420,-0.016505,0.145929,0.0000,0.0000,0.0000
2.609942,0.010041,0.106685,0.015491,-0.022491,0.109030,0.0000,0.0000,0.0000
2.619902,0.009960,0.131824,0.016804,-0.021294,0.133533,0.0000,0.0000,0.0000
2.629974,0.010072,0.073166,0.017541,-0.005731,0.073390,0.0000,0.0000,0.0000
2.639907,0.009932,0.165343,0.019183,0.025393,0.167282,0.0000,0.0000,0.0000
2.649987,0.010080,0.188088,0.021079,0.005043,0.188156,0.0000,0.0000,0.0000
2.659925,0.009938,0.134218,0.022413,0.037364,0.139322,0.0000,0.0000,0.0000
2.669955,0.010030,0.122247,0.023639,0.030182,0.125918,0.0000,0.0000,0.0000
2.679909,0.009954,0.098305,0.024618,0.080460,0.127035,0.0000,0.0000,0.0000
2.689945,0.010036,0.058801,0.025208,0.063701,0.086691,0.0000,0.0000,0.0000
2.699904,0.009959,0.014508,0.025353,-0.052418,0.054389,0.0000,0.0000,0.0000
2.709952,0.010048,0.040845,0.025763,-0.045236,0.060947,0.0000,0.0000,0.0000
2.719914,0.009962,0.031268,0.026074,0.040956,0.051527,0.0000,0.0000,0.0000
2.729943,0.010029,0.016903,0.026244,0.017014,0.023983,0.0000,0.0000,0.0000
2.739895,0.009953,0.055210,0.026793,-0.003337,0.055310,0.0000,0.0000,0.0000
2.749989,0.010093,0.022888,0.027025,0.008634,0.024462,0.0000,0.0000,0.0000
2.759926,0.009937,-0.008237,0.026943,0.038562,0.039431,0.0000,0.0000,0.0000
2.769970,0.010044,0.046830,0.027413,-0.029673,0.055440,0.0000,0.0000,0.0000
2.779917,0.009948,0.055210,0.027962,-0.029673,0.062679,0.0000,0.0000,0.0000
2.789964,0.010046,0.071969,0.028685,0.024196,0.075928,0.0000,0.0000,0.0000
2.799903,0.009940,0.079152,0.029472,0.052927,0.095217,0.0000,0.0000,0.0000
2.809937,0.010034,0.182102,0.031299,0.050533,0.188984,0.0000,0.0000,0.0000
2.819909,0.009972,0.258717,0.033879,0.068489,0.267629,0.0000,0.0000,0.0000
2.829956,0.010047,0.155766,0.035444,0.068489,0.170158,0.0000,0.0000,0.0000
2.839917,0.009961,0.144992,0.036888,0.003846,0.145043,0.0000,0.0000,0.0000
2.849975,0.010058,0.099502,0.037889,-0.023688,0.102283,0.0000,0.0000,0.0000
2.859918,0.009943,0.118656,0.039069,0.001451,0.118665,0.0000,0.0000,0.0000
2.870013,0.010094,0.079152,0.039868,0.045744,0.091420,0.0000,0.0000,0.0000
2.879963,0.009950,0.031268,0.040179,-0.010520,0.032990,0.0000,0.0000,0.0000
2.889959,0.009996,0.013311,0.040312,-0.057207,0.058735,0.0000,0.0000,0.0000
2.899953,0.009994,-0.075274,0.039560,-0.009323,0.075849,0.0000,0.0000,0.0000
2.909947,0.009995,-0.013025,0.039430,0.027788,0.030689,0.0000,0.0000,0.0000
2.919897,0.009949,0.099502,0.040420,0.018211,0.101155,0.0000,0.0000,0.0000
2.929934,0.010037,0.116262,0.041587,0.050533,0.126769,0.0000,0.0000,0.0000
2.939909,0.009975,0.167737,0.043260,-0.006928,0.167880,0.0000,0.0000,0.0000
2.949985,0.010076,0.154569,0.044817,0.080460,0.174257,0.0000,0.0000,0.0000
2.959894,0.009909,0.111473,0.045922,-0.026082,0.114484,0.0000,0.0000,0.0000
2.969953,0.010059,0.013311,0.046056,-0.008125,0.015595,0.0000,0.0000,0.0000
